"","date","variable","value"
"1",1998-01-31,"gain",99.4049
"200",1998-01-31,"loss",0.5951
"66",1998-02-28,"gain",99.3379
"265",1998-02-28,"loss",0.6621
"83",1998-03-31,"gain",99.1682
"282",1998-03-31,"loss",0.8318
"100",1998-04-30,"gain",99.2183
"299",1998-04-30,"loss",0.7817
"117",1998-05-31,"gain",99.2094
"316",1998-05-31,"loss",0.7906
"134",1998-06-30,"gain",99.2108
"333",1998-06-30,"loss",0.7892
"151",1998-07-31,"gain",99.1504
"350",1998-07-31,"loss",0.8496
"168",1998-08-31,"gain",99.0947
"367",1998-08-31,"loss",0.9053
"184",1998-09-30,"gain",99.147
"383",1998-09-30,"loss",0.853
"18",1998-10-31,"gain",99.0704
"217",1998-10-31,"loss",0.9296
"34",1998-11-30,"gain",98.9823
"233",1998-11-30,"loss",1.0177
"50",1998-12-31,"gain",98.8897
"249",1998-12-31,"loss",1.1103
"2",1999-01-31,"gain",98.7286
"201",1999-01-31,"loss",1.2714
"67",1999-02-28,"gain",98.6932
"266",1999-02-28,"loss",1.3068
"84",1999-03-31,"gain",98.626
"283",1999-03-31,"loss",1.374
"101",1999-04-30,"gain",98.5869
"300",1999-04-30,"loss",1.4131
"118",1999-05-31,"gain",98.473
"317",1999-05-31,"loss",1.527
"135",1999-06-30,"gain",98.6465
"334",1999-06-30,"loss",1.3535
"152",1999-07-31,"gain",98.7831
"351",1999-07-31,"loss",1.2169
"169",1999-08-31,"gain",98.8477
"368",1999-08-31,"loss",1.1523
"185",1999-09-30,"gain",98.7345
"384",1999-09-30,"loss",1.2655
"19",1999-10-31,"gain",98.6275
"218",1999-10-31,"loss",1.3725
"35",1999-11-30,"gain",98.5442
"234",1999-11-30,"loss",1.4558
"51",1999-12-31,"gain",98.3988
"250",1999-12-31,"loss",1.6012
"3",2000-01-31,"gain",98.4165
"202",2000-01-31,"loss",1.5835
"79",2000-02-29,"gain",98.4326
"278",2000-02-29,"loss",1.5674
"85",2000-03-31,"gain",98.3368
"284",2000-03-31,"loss",1.6632
"102",2000-04-30,"gain",98.2524
"301",2000-04-30,"loss",1.7476
"119",2000-05-31,"gain",98.3218
"318",2000-05-31,"loss",1.6782
"136",2000-06-30,"gain",98.4499
"335",2000-06-30,"loss",1.5501
"153",2000-07-31,"gain",98.5822
"352",2000-07-31,"loss",1.4178
"170",2000-08-31,"gain",98.5475
"369",2000-08-31,"loss",1.4525
"186",2000-09-30,"gain",98.56
"385",2000-09-30,"loss",1.44
"20",2000-10-31,"gain",98.3998
"219",2000-10-31,"loss",1.6002
"36",2000-11-30,"gain",98.1781
"235",2000-11-30,"loss",1.8219
"52",2000-12-31,"gain",98.0588
"251",2000-12-31,"loss",1.9412
"4",2001-01-31,"gain",97.913
"203",2001-01-31,"loss",2.087
"68",2001-02-28,"gain",97.74
"267",2001-02-28,"loss",2.26
"86",2001-03-31,"gain",97.7201
"285",2001-03-31,"loss",2.2799
"103",2001-04-30,"gain",97.875
"302",2001-04-30,"loss",2.125
"120",2001-05-31,"gain",98.1589
"319",2001-05-31,"loss",1.8411
"137",2001-06-30,"gain",98.3173
"336",2001-06-30,"loss",1.6827
"154",2001-07-31,"gain",98.3936
"353",2001-07-31,"loss",1.6064
"171",2001-08-31,"gain",98.3817
"370",2001-08-31,"loss",1.6183
"187",2001-09-30,"gain",98.2518
"386",2001-09-30,"loss",1.7482
"21",2001-10-31,"gain",98.1601
"220",2001-10-31,"loss",1.8399
"37",2001-11-30,"gain",98.0965
"236",2001-11-30,"loss",1.9035
"53",2001-12-31,"gain",97.8957
"252",2001-12-31,"loss",2.1043
"5",2002-01-31,"gain",97.6675
"204",2002-01-31,"loss",2.3325
"69",2002-02-28,"gain",97.3182
"268",2002-02-28,"loss",2.6818
"87",2002-03-31,"gain",97.2708
"286",2002-03-31,"loss",2.7292
"104",2002-04-30,"gain",97.3638
"303",2002-04-30,"loss",2.6362
"121",2002-05-31,"gain",97.6151
"320",2002-05-31,"loss",2.3849
"138",2002-06-30,"gain",97.8503
"337",2002-06-30,"loss",2.1497
"155",2002-07-31,"gain",98.0445
"354",2002-07-31,"loss",1.9555
"172",2002-08-31,"gain",98.0741
"371",2002-08-31,"loss",1.9259
"188",2002-09-30,"gain",97.9305
"387",2002-09-30,"loss",2.0695
"22",2002-10-31,"gain",97.9011
"221",2002-10-31,"loss",2.0989
"38",2002-11-30,"gain",97.7533
"237",2002-11-30,"loss",2.2467
"54",2002-12-31,"gain",97.6641
"253",2002-12-31,"loss",2.3359
"6",2003-01-31,"gain",97.5062
"205",2003-01-31,"loss",2.4938
"70",2003-02-28,"gain",97.0268
"269",2003-02-28,"loss",2.9732
"88",2003-03-31,"gain",96.9089
"287",2003-03-31,"loss",3.0911
"105",2003-04-30,"gain",96.9103
"304",2003-04-30,"loss",3.0897
"122",2003-05-31,"gain",97.1282
"321",2003-05-31,"loss",2.8718
"139",2003-06-30,"gain",97.5197
"338",2003-06-30,"loss",2.4803
"156",2003-07-31,"gain",97.6359
"355",2003-07-31,"loss",2.3641
"173",2003-08-31,"gain",97.6895
"372",2003-08-31,"loss",2.3105
"189",2003-09-30,"gain",97.6543
"388",2003-09-30,"loss",2.3457
"23",2003-10-31,"gain",97.6711
"222",2003-10-31,"loss",2.3289
"39",2003-11-30,"gain",97.4882
"238",2003-11-30,"loss",2.5118
"55",2003-12-31,"gain",97.3267
"254",2003-12-31,"loss",2.6733
"7",2004-01-31,"gain",97.0815
"206",2004-01-31,"loss",2.9185
"80",2004-02-29,"gain",96.9095
"279",2004-02-29,"loss",3.0905
"89",2004-03-31,"gain",96.8203
"288",2004-03-31,"loss",3.1797
"106",2004-04-30,"gain",97.0355
"305",2004-04-30,"loss",2.9645
"123",2004-05-31,"gain",97.368
"322",2004-05-31,"loss",2.632
"140",2004-06-30,"gain",97.5457
"339",2004-06-30,"loss",2.4543
"157",2004-07-31,"gain",97.7232
"356",2004-07-31,"loss",2.2768
"174",2004-08-31,"gain",97.7343
"373",2004-08-31,"loss",2.2657
"190",2004-09-30,"gain",97.744
"389",2004-09-30,"loss",2.256
"24",2004-10-31,"gain",97.6819
"223",2004-10-31,"loss",2.3181
"40",2004-11-30,"gain",97.4753
"239",2004-11-30,"loss",2.5247
"56",2004-12-31,"gain",97.3863
"255",2004-12-31,"loss",2.6137
"8",2005-01-31,"gain",97.2166
"207",2005-01-31,"loss",2.7834
"71",2005-02-28,"gain",97.0588
"270",2005-02-28,"loss",2.9412
"90",2005-03-31,"gain",97.0897
"289",2005-03-31,"loss",2.9103
"107",2005-04-30,"gain",97.1605
"306",2005-04-30,"loss",2.8395
"124",2005-05-31,"gain",97.4449
"323",2005-05-31,"loss",2.5551
"141",2005-06-30,"gain",97.6133
"340",2005-06-30,"loss",2.3867
"158",2005-07-31,"gain",97.6691
"357",2005-07-31,"loss",2.3309
"175",2005-08-31,"gain",97.7016
"374",2005-08-31,"loss",2.2984
"191",2005-09-30,"gain",97.7106
"390",2005-09-30,"loss",2.2894
"25",2005-10-31,"gain",97.5161
"224",2005-10-31,"loss",2.4839
"41",2005-11-30,"gain",97.2616
"240",2005-11-30,"loss",2.7384
"57",2005-12-31,"gain",96.9397
"256",2005-12-31,"loss",3.0603
"9",2006-01-31,"gain",96.9619
"208",2006-01-31,"loss",3.0381
"72",2006-02-28,"gain",96.8779
"271",2006-02-28,"loss",3.1221
"91",2006-03-31,"gain",96.7924
"290",2006-03-31,"loss",3.2076
"108",2006-04-30,"gain",96.8766
"307",2006-04-30,"loss",3.1234
"125",2006-05-31,"gain",97.0604
"324",2006-05-31,"loss",2.9396
"142",2006-06-30,"gain",97.1574
"341",2006-06-30,"loss",2.8426
"159",2006-07-31,"gain",97.1412
"358",2006-07-31,"loss",2.8588
"176",2006-08-31,"gain",97.0713
"375",2006-08-31,"loss",2.9287
"192",2006-09-30,"gain",96.8712
"391",2006-09-30,"loss",3.1288
"26",2006-10-31,"gain",96.5608
"225",2006-10-31,"loss",3.4392
"42",2006-11-30,"gain",96.2671
"241",2006-11-30,"loss",3.7329
"58",2006-12-31,"gain",95.9126
"257",2006-12-31,"loss",4.0874
"10",2007-01-31,"gain",95.4429
"209",2007-01-31,"loss",4.5571
"73",2007-02-28,"gain",94.8069
"272",2007-02-28,"loss",5.1931
"92",2007-03-31,"gain",94.5621
"291",2007-03-31,"loss",5.4379
"109",2007-04-30,"gain",94.5438
"308",2007-04-30,"loss",5.4562
"126",2007-05-31,"gain",94.7886
"325",2007-05-31,"loss",5.2114
"143",2007-06-30,"gain",94.8974
"342",2007-06-30,"loss",5.1026
"160",2007-07-31,"gain",94.8753
"359",2007-07-31,"loss",5.1247
"177",2007-08-31,"gain",94.6063
"376",2007-08-31,"loss",5.3937
"193",2007-09-30,"gain",93.8752
"392",2007-09-30,"loss",6.1248
"27",2007-10-31,"gain",92.9542
"226",2007-10-31,"loss",7.0458
"43",2007-11-30,"gain",91.7095
"242",2007-11-30,"loss",8.2905
"59",2007-12-31,"gain",90.4287
"258",2007-12-31,"loss",9.5713
"11",2008-01-31,"gain",88.6874
"210",2008-01-31,"loss",11.3126
"81",2008-02-29,"gain",86.9527
"280",2008-02-29,"loss",13.0473
"93",2008-03-31,"gain",85.7592
"292",2008-03-31,"loss",14.2408
"110",2008-04-30,"gain",85.7147
"309",2008-04-30,"loss",14.2853
"127",2008-05-31,"gain",85.6267
"326",2008-05-31,"loss",14.3733
"144",2008-06-30,"gain",85.8049
"343",2008-06-30,"loss",14.1951
"161",2008-07-31,"gain",85.6407
"360",2008-07-31,"loss",14.3593
"178",2008-08-31,"gain",84.7685
"377",2008-08-31,"loss",15.2315
"194",2008-09-30,"gain",83.4549
"393",2008-09-30,"loss",16.5451
"28",2008-10-31,"gain",81.8269
"227",2008-10-31,"loss",18.1731
"44",2008-11-30,"gain",79.0819
"243",2008-11-30,"loss",20.9181
"60",2008-12-31,"gain",77.1027
"259",2008-12-31,"loss",22.8973
"12",2009-01-31,"gain",73.6248
"211",2009-01-31,"loss",26.3752
"74",2009-02-28,"gain",70.9606
"273",2009-02-28,"loss",29.0394
"94",2009-03-31,"gain",70.2689
"293",2009-03-31,"loss",29.7311
"111",2009-04-30,"gain",70.2371
"310",2009-04-30,"loss",29.7629
"128",2009-05-31,"gain",70.7261
"327",2009-05-31,"loss",29.2739
"145",2009-06-30,"gain",71.8199
"344",2009-06-30,"loss",28.1801
"162",2009-07-31,"gain",72.8426
"361",2009-07-31,"loss",27.1574
"179",2009-08-31,"gain",73.4543
"378",2009-08-31,"loss",26.5457
"195",2009-09-30,"gain",72.9618
"394",2009-09-30,"loss",27.0382
"29",2009-10-31,"gain",72.6284
"228",2009-10-31,"loss",27.3716
"45",2009-11-30,"gain",72.602
"244",2009-11-30,"loss",27.398
"61",2009-12-31,"gain",71.6964
"260",2009-12-31,"loss",28.3036
"13",2010-01-31,"gain",68.362
"212",2010-01-31,"loss",31.638
"75",2010-02-28,"gain",66.3344
"274",2010-02-28,"loss",33.6656
"95",2010-03-31,"gain",66.0338
"294",2010-03-31,"loss",33.9662
"112",2010-04-30,"gain",67.9662
